# model=Naive seed=702 maintenanceInterval=600 reportInterval=50
# genomeSize=60000 genes=16 exonLength=90 exonsPerGene=5
tick,recovered,spurious,totalGenes,cycleMs
50,16,6,16,0
100,16,13,16,0
150,16,13,16,0
200,15,16,16,0
250,14,20,16,0
300,14,20,16,0
350,14,21,16,0
400,14,25,16,0
450,14,28,16,0
500,13,30,16,0
550,12,31,16,0
600,12,31,16,0
650,12,31,16,0
700,10,33,16,0
750,10,34,16,0
800,8,36,16,0
850,8,37,16,0
900,8,37,16,0
950,8,37,16,0
1000,8,37,16,0
1050,8,37,16,0
1100,8,37,16,0
1150,8,39,16,0
1200,8,39,16,0
1250,8,40,16,0
1300,6,42,16,0
1350,4,44,16,0
1400,4,44,16,0
1450,4,44,16,0
1500,4,44,16,0
1550,4,44,16,0
1600,4,44,16,0
1650,4,44,16,0
1700,2,46,16,0
1750,2,46,16,0
1800,1,47,16,0
1850,1,47,16,0
1900,1,47,16,0
1950,1,47,16,0
2000,1,47,16,0
2050,1,47,16,0
2100,1,47,16,0
2150,1,47,16,0
2200,1,47,16,0
2250,1,47,16,0
2300,0,48,16,0
# ended at tick 2300: recovery fell below 5 %; run took 503 ms
