# model=Dmr seed=704 maintenanceInterval=600 reportInterval=50
# genomeSize=60000 genes=16 exonLength=90 exonsPerGene=5
tick,recovered,spurious,totalGenes,cycleMs
50,16,0,16,3055
100,16,0,16,2025
150,16,0,16,2140
200,16,0,16,2093
250,16,0,16,2043
300,16,0,16,1960
350,16,0,16,1988
400,16,0,16,2491
450,16,0,16,2340
500,16,0,16,2390
550,16,0,16,2279
600,16,0,16,4215
650,16,0,16,5785
700,16,0,16,5389
750,16,0,16,5365
800,16,0,16,6911
850,16,0,16,12254
900,16,0,16,26830
950,16,0,16,103593
1000,16,0,16,286920
1050,12,0,16,457553
1100,4,0,16,785183
1150,4,0,16,782093
1200,4,0,16,757160
1250,4,0,16,4056075
1300,4,0,16,795739
1350,4,0,16,793149
1400,4,0,16,827374
1450,4,0,16,788956
1500,4,0,16,761960
