# model=Dmr seed=701 maintenanceInterval=600 reportInterval=50
# genomeSize=60000 genes=16 exonLength=90 exonsPerGene=5
tick,recovered,spurious,totalGenes,cycleMs
50,16,0,16,2713
100,16,0,16,2089
150,16,0,16,2152
200,16,0,16,2185
250,16,0,16,2091
300,16,0,16,2074
350,16,0,16,2009
400,16,0,16,1998
450,16,0,16,1966
500,16,0,16,1939
550,16,0,16,2046
600,16,0,16,1949
650,16,0,16,1950
700,16,0,16,1899
750,16,0,16,1884
800,16,0,16,1854
850,16,0,16,1812
900,16,0,16,2727
950,16,0,16,7396
1000,16,0,16,7631
1050,16,0,16,3053
1100,16,0,16,3585
1150,16,0,16,3356
1200,16,0,16,16067
1250,16,0,16,14736
1300,16,0,16,14776
1350,16,0,16,43769
1400,16,0,16,23254
1450,16,0,16,22935
1500,16,0,16,40554
1550,16,0,16,39868
1600,16,0,16,52217
1650,16,0,16,54462
1700,16,0,16,41213
1750,16,0,16,143045
1800,16,0,16,407299
1850,16,0,16,409959
1900,6,0,16,678683
1950,6,0,16,656860
2000,2,0,16,764551
2050,2,0,16,710087
2100,0,0,16,721926
# ended at tick 2100: recovery fell below 5 %; run took 4918695 ms
