# model=Naive seed=703 maintenanceInterval=600 reportInterval=50
# genomeSize=60000 genes=16 exonLength=90 exonsPerGene=5
tick,recovered,spurious,totalGenes,cycleMs
50,16,2,16,0
100,16,8,16,0
150,16,9,16,0
200,16,13,16,0
250,15,16,16,0
300,15,17,16,0
350,15,20,16,0
400,14,21,16,0
450,14,24,16,0
500,14,25,16,0
550,12,28,16,0
600,12,28,16,0
650,12,29,16,0
700,12,34,16,0
750,11,36,16,0
800,9,38,16,0
850,7,41,16,0
900,7,41,16,0
950,7,41,16,0
1000,6,42,16,0
1050,6,42,16,0
1100,5,43,16,0
1150,4,44,16,0
1200,3,45,16,0
1250,3,45,16,0
1300,3,45,16,0
1350,3,45,16,0
1400,3,45,16,0
1450,3,45,16,0
1500,3,45,16,0
1550,2,46,16,0
1600,2,46,16,0
1650,2,46,16,0
1700,1,47,16,0
1750,1,47,16,0
1800,1,47,16,0
1850,1,47,16,0
1900,1,47,16,0
1950,1,47,16,0
2000,1,47,16,0
2050,1,47,16,0
2100,1,47,16,0
2150,1,47,16,0
2200,1,47,16,0
2250,1,47,16,0
2300,1,47,16,0
2350,1,47,16,0
2400,1,47,16,0
2450,1,47,16,0
2500,0,48,16,0
# ended at tick 2500: recovery fell below 5 %; run took 524 ms
