# model=Dmr seed=702 maintenanceInterval=600 reportInterval=50
# genomeSize=60000 genes=16 exonLength=90 exonsPerGene=5
tick,recovered,spurious,totalGenes,cycleMs
50,16,0,16,2680
100,16,0,16,2158
150,16,0,16,2114
200,16,0,16,2227
250,16,0,16,2151
300,16,0,16,2169
350,16,0,16,2116
400,16,0,16,2078
450,16,0,16,2053
500,16,0,16,1987
550,16,0,16,1991
600,16,0,16,1967
650,16,0,16,2070
700,16,0,16,6628
750,16,0,16,6564
800,16,0,16,5855
850,16,0,16,48400
900,16,0,16,47449
950,16,0,16,27252
1000,16,0,16,69279
1050,16,0,16,72238
1100,16,0,16,111848
1150,16,0,16,111830
1200,15,0,16,433167
1250,7,0,16,826883
1300,7,0,16,769579
1350,7,0,16,869305
1400,7,0,16,886847
1450,3,0,16,1017046
1500,3,0,16,989712
1550,3,0,16,945637
