# model=Naive seed=704 maintenanceInterval=600 reportInterval=50
# genomeSize=60000 genes=16 exonLength=90 exonsPerGene=5
tick,recovered,spurious,totalGenes,cycleMs
50,16,3,16,0
100,16,8,16,0
150,16,11,16,0
200,16,13,16,0
250,16,15,16,0
300,15,19,16,0
350,14,22,16,0
400,14,23,16,0
450,14,28,16,0
500,12,31,16,0
550,10,34,16,0
600,9,35,16,0
650,9,36,16,0
700,9,37,16,0
750,9,38,16,0
800,9,38,16,0
850,8,39,16,0
900,7,41,16,0
950,6,42,16,0
1000,6,42,16,0
1050,6,42,16,0
1100,4,44,16,0
1150,3,45,16,0
1200,3,45,16,0
1250,1,47,16,0
1300,1,47,16,0
1350,1,47,16,0
1400,1,47,16,0
1450,1,47,16,0
1500,1,47,16,0
1550,1,47,16,0
1600,1,47,16,0
1650,1,47,16,0
1700,1,47,16,0
1750,1,47,16,0
1800,1,47,16,0
1850,1,47,16,0
1900,1,47,16,0
1950,1,47,16,0
2000,1,47,16,0
2050,1,47,16,0
2100,1,47,16,0
2150,1,47,16,0
2200,0,48,16,0
# ended at tick 2200: recovery fell below 5 %; run took 485 ms
