# model=FullDmr seed=703 maintenanceInterval=600 reportInterval=50
# genomeSize=60000 genes=16 exonLength=90 exonsPerGene=5
tick,recovered,spurious,totalGenes,cycleMs
50,16,0,16,2599
100,16,0,16,2140
150,16,0,16,2032
200,16,0,16,1972
250,16,0,16,2166
300,16,0,16,2209
350,16,0,16,2106
400,16,0,16,2050
450,16,0,16,2023
500,16,0,16,2046
550,16,0,16,1959
600,16,0,16,2037
650,16,0,16,2437
700,16,0,16,2372
750,16,0,16,2389
800,16,0,16,2279
850,16,0,16,2242
900,16,0,16,2223
950,16,0,16,2128
1000,16,0,16,2075
1050,16,0,16,2084
1100,16,0,16,2056
1150,16,0,16,2030
1200,16,0,16,2082
1250,16,0,16,2193
1300,16,0,16,2323
1350,16,0,16,2283
1400,16,0,16,2218
1450,16,0,16,2121
1500,16,0,16,2121
1550,16,0,16,1999
1600,16,0,16,2196
1650,16,0,16,2095
1700,16,0,16,2125
1750,16,0,16,2085
1800,16,0,16,2119
1850,16,0,16,2067
1900,16,0,16,2101
1950,16,0,16,2062
2000,16,0,16,2026
2050,16,0,16,2024
2100,16,0,16,1971
2150,16,0,16,2028
2200,16,0,16,2060
2250,16,0,16,2344
2300,16,0,16,2579
2350,16,0,16,2590
2400,16,0,16,2547
2450,16,0,16,2209
2500,16,0,16,2167
2550,16,0,16,2117
2600,16,0,16,2121
2650,16,0,16,2352
2700,16,0,16,2308
2750,16,0,16,2306
2800,16,0,16,2277
2850,16,0,16,2946
2900,16,0,16,2909
2950,16,0,16,3335
3000,16,0,16,3349
3050,16,0,16,2100
3100,16,0,16,2060
3150,16,0,16,1951
3200,16,0,16,1996
3250,16,0,16,1933
3300,16,0,16,1887
3350,16,0,16,1997
3400,16,0,16,1970
3450,16,0,16,1948
3500,16,0,16,2018
3550,16,0,16,1947
3600,16,0,16,1918
3650,16,0,16,2080
3700,16,0,16,2060
3750,16,0,16,1974
3800,16,0,16,1986
3850,16,0,16,1997
3900,16,0,16,1913
3950,16,0,16,1895
4000,16,0,16,1905
4050,16,0,16,1880
4100,16,0,16,1892
4150,16,0,16,1994
4200,16,0,16,2835
4250,16,0,16,2167
4300,16,0,16,2137
4350,16,0,16,2116
4400,16,0,16,2132
4450,16,0,16,2124
4500,16,0,16,2112
4550,16,0,16,2138
4600,16,0,16,2084
4650,16,0,16,2087
4700,16,0,16,2043
4750,16,0,16,1992
4800,16,0,16,2088
4850,16,0,16,2094
4900,16,0,16,2096
4950,16,0,16,2034
5000,16,0,16,2024
5050,16,0,16,2068
5100,16,0,16,2032
5150,16,0,16,2216
5200,16,0,16,2143
5250,16,0,16,2013
5300,16,0,16,2186
5350,16,0,16,2069
5400,16,0,16,2769
5450,16,0,16,2155
5500,16,0,16,2137
5550,16,0,16,2157
5600,16,0,16,2052
5650,16,0,16,2079
5700,16,0,16,2038
5750,16,0,16,1997
5800,16,0,16,1964
5850,16,0,16,2032
5900,16,0,16,2090
5950,16,0,16,2045
6000,16,0,16,2156
6050,16,0,16,2116
6100,16,0,16,2062
6150,16,0,16,2061
6200,16,0,16,2024
6250,16,0,16,1935
6300,16,0,16,1907
6350,16,0,16,1896
6400,16,0,16,2122
6450,16,0,16,1979
6500,16,0,16,1948
6550,16,0,16,1897
6600,16,0,16,3158
6650,16,0,16,2246
6700,16,0,16,2221
6750,16,0,16,2189
6800,16,0,16,2174
6850,16,0,16,2159
6900,16,0,16,2146
6950,16,0,16,2359
7000,16,0,16,2470
7050,16,0,16,2759
7100,16,0,16,2778
7150,16,0,16,3324
7200,16,0,16,3270
7250,16,0,16,2452
7300,16,0,16,2347
7350,16,0,16,2261
7400,16,0,16,2543
7450,16,0,16,2540
7500,16,0,16,2851
7550,16,0,16,2857
7600,16,0,16,2770
7650,16,0,16,2771
7700,16,0,16,2936
7750,16,0,16,2860
7800,16,0,16,2822
7850,16,0,16,2140
7900,16,0,16,2109
7950,16,0,16,2044
8000,16,0,16,1996
8050,16,0,16,1916
8100,16,0,16,1962
8150,16,0,16,1993
8200,16,0,16,2208
8250,16,0,16,2023
8300,16,0,16,2559
8350,16,0,16,2611
8400,16,0,16,9446
8450,16,0,16,2045
8500,16,0,16,2018
8550,16,0,16,1964
8600,16,0,16,1984
8650,16,0,16,1962
8700,16,0,16,1966
8750,16,0,16,1932
8800,16,0,16,1877
8850,16,0,16,1854
8900,16,0,16,1823
8950,16,0,16,1781
9000,16,0,16,1827
9050,16,0,16,2073
9100,16,0,16,2075
9150,16,0,16,2072
9200,16,0,16,2087
9250,16,0,16,2041
9300,16,0,16,2290
9350,16,0,16,2303
9400,16,0,16,2289
9450,16,0,16,2282
9500,16,0,16,2182
9550,16,0,16,2857
9600,16,0,16,2769
9650,16,0,16,2118
9700,16,0,16,2163
9750,16,0,16,2073
9800,16,0,16,2091
9850,16,0,16,2052
9900,16,0,16,2021
9950,16,0,16,1962
10000,16,0,16,2061
10050,16,0,16,2111
10100,16,0,16,2007
10150,16,0,16,2085
10200,16,0,16,2333
10250,16,0,16,2529
10300,16,0,16,2726
10350,16,0,16,2512
10400,16,0,16,2446
10450,16,0,16,2351
10500,16,0,16,2328
10550,16,0,16,2446
10600,16,0,16,2307
10650,16,0,16,2787
10700,16,0,16,2755
10750,16,0,16,2748
10800,16,0,16,2712
10850,16,0,16,2132
10900,16,0,16,2085
10950,16,0,16,2204
11000,16,0,16,2084
11050,16,0,16,1977
11100,16,0,16,2062
11150,16,0,16,2021
11200,16,0,16,2013
11250,16,0,16,1969
11300,16,0,16,2021
11350,16,0,16,1991
11400,16,0,16,1998
11450,16,0,16,2365
11500,16,0,16,2382
11550,16,0,16,2334
11600,16,0,16,2295
11650,16,0,16,2394
11700,16,0,16,2450
11750,16,0,16,2528
11800,16,0,16,2490
11850,16,0,16,2360
11900,16,0,16,2417
11950,16,0,16,2342
12000,16,0,16,3415
12050,16,0,16,2188
12100,16,0,16,2114
12150,16,0,16,2062
12200,16,0,16,2023
12250,16,0,16,1990
12300,16,0,16,2015
12350,16,0,16,2205
12400,16,0,16,1975
12450,16,0,16,1933
12500,16,0,16,1909
12550,16,0,16,2156
12600,16,0,16,2192
12650,16,0,16,2271
12700,16,0,16,2311
12750,16,0,16,2263
12800,16,0,16,2167
12850,16,0,16,2224
12900,16,0,16,2179
12950,16,0,16,2188
13000,16,0,16,2161
13050,16,0,16,5376
13100,16,0,16,5858
13150,16,0,16,5943
13200,16,0,16,6018
13250,16,0,16,2226
13300,16,0,16,2429
13350,16,0,16,2433
13400,16,0,16,2375
13450,16,0,16,2329
13500,16,0,16,2373
13550,16,0,16,2455
13600,16,0,16,2411
13650,16,0,16,2387
13700,16,0,16,2313
13750,16,0,16,2271
13800,16,0,16,2286
13850,16,0,16,2213
13900,16,0,16,2194
13950,16,0,16,2145
14000,16,0,16,2073
14050,16,0,16,2112
14100,16,0,16,2040
14150,16,0,16,1963
14200,16,0,16,1999
14250,16,0,16,2077
14300,16,0,16,1961
14350,16,0,16,1884
14400,16,0,16,2000
14450,16,0,16,2392
14500,16,0,16,2253
