# model=Dmr seed=703 maintenanceInterval=600 reportInterval=50
# genomeSize=60000 genes=16 exonLength=90 exonsPerGene=5
tick,recovered,spurious,totalGenes,cycleMs
50,16,0,16,2899
100,16,0,16,2110
150,16,0,16,2107
200,16,0,16,2375
250,16,0,16,2258
300,16,0,16,2253
350,16,0,16,2179
400,16,0,16,2148
450,16,0,16,2164
500,16,0,16,2168
550,16,0,16,2035
600,16,0,16,2023
650,16,0,16,2228
700,16,0,16,2058
750,16,0,16,5411
800,16,0,16,6148
850,16,0,16,34696
900,16,0,16,17361
950,16,0,16,20546
1000,16,0,16,181077
1050,16,0,16,172874
1100,16,0,16,171782
1150,16,0,16,168240
1200,16,0,16,161835
1250,16,0,16,182245
1300,15,0,16,216924
1350,15,0,16,217504
1400,15,0,16,217393
1450,15,0,16,311661
1500,14,0,16,483078
1550,14,0,16,535989
1600,14,0,16,483779
1650,14,0,16,356112
1700,12,0,16,633039
1750,6,0,16,858757
1800,3,0,16,859686
1850,3,0,16,857234
1900,3,0,16,859778
1950,3,0,16,856043
2000,3,0,16,848666
2050,3,0,16,789843
