# model=Naive seed=705 maintenanceInterval=600 reportInterval=50
# genomeSize=60000 genes=16 exonLength=90 exonsPerGene=5
tick,recovered,spurious,totalGenes,cycleMs
50,16,3,16,0
100,16,6,16,0
150,16,8,16,0
200,16,12,16,0
250,16,17,16,0
300,15,22,16,0
350,14,28,16,0
400,12,30,16,0
450,11,33,16,0
500,10,36,16,0
550,8,38,16,0
600,8,38,16,0
650,8,39,16,0
700,8,39,16,0
750,8,40,16,0
800,7,41,16,0
850,5,43,16,0
900,5,43,16,0
950,4,44,16,0
1000,4,44,16,0
1050,4,44,16,0
1100,4,44,16,0
1150,3,45,16,0
1200,3,45,16,0
1250,3,45,16,0
1300,2,46,16,0
1350,2,46,16,0
1400,2,46,16,0
1450,2,46,16,0
1500,2,46,16,0
1550,2,46,16,0
1600,2,46,16,0
1650,2,46,16,0
1700,2,46,16,0
1750,2,46,16,0
1800,2,46,16,0
1850,2,46,16,0
1900,2,46,16,0
1950,2,46,16,0
2000,2,46,16,0
2050,2,46,16,0
2100,2,46,16,0
2150,2,46,16,0
2200,2,46,16,0
2250,2,46,16,0
2300,2,46,16,0
2350,2,46,16,0
2400,2,46,16,0
2450,2,46,16,0
2500,2,46,16,0
2550,1,47,16,0
2600,1,47,16,0
2650,1,47,16,0
2700,1,47,16,0
2750,1,47,16,0
2800,1,47,16,0
2850,1,47,16,0
2900,1,47,16,0
2950,1,47,16,0
3000,1,47,16,0
# ended at tick 3000: reached tick budget; run took 611 ms
