# model=Naive seed=701 maintenanceInterval=600 reportInterval=50
# genomeSize=60000 genes=16 exonLength=90 exonsPerGene=5
tick,recovered,spurious,totalGenes,cycleMs
50,16,3,16,0
100,16,8,16,0
150,16,8,16,0
200,16,14,16,0
250,16,19,16,0
300,14,25,16,0
350,12,28,16,0
400,11,32,16,0
450,11,32,16,0
500,10,33,16,0
550,10,34,16,0
600,10,35,16,0
650,8,37,16,0
700,8,37,16,0
750,8,38,16,0
800,5,41,16,0
850,5,42,16,0
900,5,42,16,0
950,5,42,16,0
1000,4,44,16,0
1050,4,44,16,0
1100,4,44,16,0
1150,4,44,16,0
1200,4,44,16,0
1250,4,44,16,0
1300,4,44,16,0
1350,3,45,16,0
1400,3,45,16,0
1450,2,46,16,0
1500,2,46,16,0
1550,2,46,16,0
1600,2,46,16,0
1650,2,46,16,0
1700,2,46,16,0
1750,2,46,16,0
1800,2,46,16,0
1850,2,46,16,0
1900,2,46,16,0
1950,2,46,16,0
2000,2,46,16,0
2050,2,46,16,0
2100,2,46,16,0
2150,2,46,16,0
2200,2,46,16,0
2250,2,46,16,0
2300,2,46,16,0
2350,2,46,16,0
2400,2,46,16,0
2450,1,47,16,0
2500,1,47,16,0
2550,0,48,16,0
# ended at tick 2550: recovery fell below 5 %; run took 556 ms
