# model=FullDmr seed=801 maintenanceInterval=600 reportInterval=50
# genomeSize=60000 genes=16 exonLength=90 exonsPerGene=5
tick,recovered,spurious,totalGenes,cycleMs
50,16,0,16,2925
100,16,0,16,2062
150,16,0,16,2027
200,16,0,16,1996
250,16,0,16,1989
300,16,0,16,1944
350,16,0,16,1889
400,16,0,16,1889
450,16,0,16,1883
500,16,0,16,3337
550,16,0,16,3462
600,16,0,16,2729
650,16,0,16,2436
700,16,0,16,2316
750,16,0,16,2172
800,16,0,16,2055
850,16,0,16,1984
900,16,0,16,1995
950,16,0,16,2002
1000,16,0,16,2026
1050,16,0,16,2001
1100,16,0,16,1955
1150,16,0,16,1902
1200,16,0,16,1961
1250,16,0,16,2264
1300,16,0,16,2254
1350,16,0,16,2221
1400,16,0,16,2219
1450,16,0,16,2204
1500,16,0,16,2162
1550,16,0,16,2152
1600,16,0,16,2088
1650,16,0,16,2977
1700,16,0,16,3557
1750,16,0,16,3115
1800,16,0,16,2265
1850,16,0,16,2161
1900,16,0,16,2155
1950,16,0,16,2141
2000,16,0,16,2032
2050,16,0,16,2020
2100,16,0,16,2266
2150,16,0,16,2185
2200,16,0,16,2229
2250,16,0,16,2077
2300,16,0,16,2015
2350,16,0,16,1954
2400,16,0,16,2752
2450,16,0,16,2166
2500,16,0,16,2168
2550,16,0,16,2135
2600,16,0,16,2064
2650,16,0,16,2036
2700,16,0,16,2074
2750,16,0,16,2181
2800,16,0,16,2085
2850,16,0,16,1907
2900,16,0,16,2012
2950,16,0,16,1963
3000,16,0,16,1975
3050,16,0,16,2271
3100,16,0,16,2403
3150,16,0,16,2382
3200,16,0,16,2401
3250,16,0,16,2367
3300,16,0,16,2322
3350,16,0,16,2242
3400,16,0,16,2215
3450,16,0,16,2157
3500,16,0,16,2203
3550,16,0,16,2410
3600,16,0,16,2420
3650,16,0,16,2204
3700,16,0,16,2132
3750,16,0,16,2051
3800,16,0,16,2049
3850,16,0,16,2073
3900,16,0,16,1991
3950,16,0,16,2042
4000,16,0,16,1959
4050,16,0,16,1935
4100,16,0,16,1913
4150,16,0,16,2156
4200,16,0,16,2190
4250,16,0,16,2147
4300,16,0,16,2081
4350,16,0,16,2062
4400,16,0,16,2059
4450,16,0,16,2041
4500,16,0,16,2008
4550,16,0,16,2031
4600,16,0,16,2236
4650,16,0,16,3886
4700,16,0,16,2400
4750,16,0,16,3759
4800,16,0,16,3760
4850,16,0,16,2163
4900,16,0,16,2194
4950,16,0,16,2149
5000,16,0,16,2102
5050,16,0,16,2063
5100,16,0,16,2108
5150,16,0,16,2157
5200,16,0,16,2124
5250,16,0,16,2115
5300,16,0,16,2046
5350,16,0,16,2053
5400,16,0,16,2026
5450,16,0,16,2180
5500,16,0,16,2187
5550,16,0,16,2105
5600,16,0,16,2141
5650,16,0,16,2102
5700,16,0,16,2078
5750,16,0,16,2068
5800,16,0,16,2104
5850,16,0,16,2058
5900,16,0,16,2258
5950,16,0,16,2183
6000,16,0,16,2181
6050,16,0,16,2225
6100,16,0,16,2194
6150,16,0,16,2211
6200,16,0,16,2220
6250,16,0,16,2125
6300,16,0,16,2151
6350,16,0,16,2172
6400,16,0,16,2134
6450,16,0,16,2107
6500,16,0,16,2149
6550,16,0,16,2053
6600,16,0,16,2084
6650,16,0,16,2193
6700,16,0,16,2137
6750,16,0,16,2157
6800,16,0,16,2153
6850,16,0,16,2162
6900,16,0,16,2104
6950,16,0,16,2059
7000,16,0,16,2038
7050,16,0,16,2039
7100,16,0,16,2159
7150,16,0,16,2097
7200,16,0,16,2356
7250,16,0,16,2545
7300,16,0,16,2417
7350,16,0,16,2437
7400,16,0,16,2389
7450,16,0,16,2317
7500,16,0,16,2328
7550,16,0,16,2210
7600,16,0,16,2140
7650,16,0,16,2193
7700,16,0,16,2206
7750,16,0,16,2089
7800,16,0,16,2167
7850,16,0,16,2269
7900,16,0,16,2235
7950,16,0,16,2225
8000,16,0,16,2173
8050,16,0,16,2184
8100,16,0,16,2067
8150,16,0,16,2033
8200,16,0,16,1992
8250,16,0,16,1993
8300,16,0,16,2069
8350,16,0,16,2113
8400,16,0,16,2085
8450,16,0,16,2238
8500,16,0,16,2180
8550,16,0,16,2162
8600,16,0,16,2156
8650,16,0,16,2089
8700,16,0,16,2062
8750,16,0,16,2004
8800,16,0,16,2070
8850,16,0,16,2070
8900,16,0,16,2415
8950,16,0,16,2278
9000,16,0,16,2403
9050,16,0,16,2194
9100,16,0,16,2193
9150,16,0,16,2131
9200,16,0,16,2136
9250,16,0,16,2051
9300,16,0,16,1997
9350,16,0,16,1955
9400,16,0,16,1962
9450,16,0,16,1847
9500,16,0,16,1869
9550,16,0,16,1807
9600,16,0,16,1874
9650,16,0,16,2413
9700,16,0,16,2301
9750,16,0,16,2337
9800,16,0,16,2313
9850,16,0,16,2295
9900,16,0,16,2305
9950,16,0,16,2258
10000,16,0,16,2428
10050,16,0,16,2348
10100,16,0,16,2334
10150,16,0,16,2353
10200,16,0,16,2367
10250,16,0,16,2160
10300,16,0,16,2252
10350,16,0,16,2232
10400,16,0,16,2181
10450,16,0,16,2173
10500,16,0,16,2053
10550,16,0,16,2062
10600,16,0,16,1934
10650,16,0,16,1858
10700,16,0,16,1826
10750,16,0,16,1809
10800,16,0,16,1837
10850,16,0,16,2191
10900,16,0,16,2180
10950,16,0,16,2122
11000,16,0,16,2117
11050,16,0,16,2055
11100,16,0,16,2305
11150,16,0,16,2336
11200,16,0,16,2319
11250,16,0,16,2313
11300,16,0,16,2525
11350,16,0,16,2575
11400,16,0,16,2336
11450,16,0,16,2291
11500,16,0,16,2291
11550,16,0,16,2446
11600,16,0,16,2318
11650,16,0,16,2299
11700,16,0,16,2299
11750,16,0,16,2273
11800,16,0,16,2218
11850,16,0,16,2169
11900,16,0,16,3076
11950,16,0,16,3229
12000,16,0,16,3345
12050,16,0,16,2170
12100,16,0,16,2223
12150,16,0,16,2096
12200,16,0,16,2077
12250,16,0,16,2023
12300,16,0,16,2191
12350,16,0,16,2146
12400,16,0,16,2208
12450,16,0,16,2196
12500,16,0,16,2106
12550,16,0,16,2113
12600,16,0,16,2151
12650,16,0,16,2166
12700,16,0,16,2107
12750,16,0,16,2093
12800,16,0,16,2053
12850,16,0,16,2014
12900,16,0,16,1985
12950,16,0,16,1926
13000,16,0,16,1991
13050,16,0,16,1828
13100,16,0,16,2694
13150,16,0,16,3594
13200,16,0,16,5755
13250,16,0,16,2207
13300,16,0,16,2482
13350,16,0,16,2213
13400,16,0,16,2002
13450,16,0,16,2081
13500,16,0,16,2015
13550,16,0,16,1931
13600,16,0,16,1872
13650,16,0,16,1955
13700,16,0,16,4125
13750,16,0,16,3696
13800,16,0,16,3672
13850,16,0,16,2240
13900,16,0,16,2171
13950,16,0,16,2065
14000,16,0,16,2044
14050,16,0,16,2078
14100,16,0,16,2060
14150,16,0,16,2215
14200,16,0,16,2095
14250,16,0,16,2171
14300,16,0,16,3013
