# model=Dmr seed=705 maintenanceInterval=600 reportInterval=50
# genomeSize=60000 genes=16 exonLength=90 exonsPerGene=5
tick,recovered,spurious,totalGenes,cycleMs
50,16,0,16,2878
100,16,0,16,2142
150,16,0,16,2161
200,16,0,16,2085
250,16,0,16,2067
300,16,0,16,2052
350,16,0,16,2024
400,16,0,16,1973
450,16,0,16,1943
500,16,0,16,1939
550,16,0,16,1953
600,16,0,16,1882
650,16,0,16,2158
700,16,0,16,2070
750,16,0,16,1909
800,16,0,16,2054
850,16,0,16,2072
900,16,0,16,2071
950,16,0,16,2005
1000,16,0,16,2024
1050,16,0,16,1997
1100,16,0,16,1959
1150,16,0,16,2019
1200,16,0,16,12808
1250,16,0,16,11988
1300,16,0,16,14469
1350,16,0,16,13203
1400,16,0,16,13085
1450,16,0,16,12934
1500,16,0,16,12856
1550,16,0,16,12701
1600,16,0,16,17117
1650,16,0,16,35734
1700,16,0,16,31319
1750,16,0,16,31031
1800,16,0,16,44598
1850,16,0,16,59144
1900,16,0,16,58740
1950,16,0,16,56953
2000,16,0,16,56375
2050,16,0,16,109466
2100,16,0,16,105671
2150,16,0,16,50270
2200,16,0,16,50294
2250,16,0,16,209638
2300,16,0,16,208609
2350,16,0,16,235530
2400,16,0,16,211053
2450,16,0,16,208138
2500,16,0,16,198139
2550,16,0,16,198139
2600,11,0,16,325434
2650,7,0,16,424036
2700,7,0,16,391883
2750,7,0,16,379680
2800,0,0,16,513462
# ended at tick 2800: recovery fell below 5 %; run took 4362026 ms
