# model=FullDmr seed=702 maintenanceInterval=600 reportInterval=50
# genomeSize=60000 genes=16 exonLength=90 exonsPerGene=5
tick,recovered,spurious,totalGenes,cycleMs
50,16,0,16,2953
100,16,0,16,2118
150,16,0,16,2066
200,16,0,16,2152
250,16,0,16,2097
300,16,0,16,2096
350,16,0,16,2068
400,16,0,16,2029
450,16,0,16,1980
500,16,0,16,1936
550,16,0,16,1957
600,16,0,16,1984
650,16,0,16,2352
700,16,0,16,2305
750,16,0,16,2400
800,16,0,16,2325
850,16,0,16,2383
900,16,0,16,2267
950,16,0,16,2312
1000,16,0,16,2334
1050,16,0,16,2219
1100,16,0,16,4676
1150,16,0,16,4716
1200,16,0,16,4065
1250,16,0,16,2120
1300,16,0,16,2109
1350,16,0,16,2104
1400,16,0,16,2102
1450,16,0,16,2063
1500,16,0,16,2046
1550,16,0,16,2010
1600,16,0,16,2021
1650,16,0,16,1965
1700,16,0,16,2019
1750,16,0,16,2019
1800,16,0,16,2489
1850,16,0,16,2334
1900,16,0,16,2532
1950,16,0,16,2526
2000,16,0,16,2505
2050,16,0,16,2458
2100,16,0,16,2462
2150,16,0,16,2576
2200,16,0,16,3194
2250,16,0,16,4553
2300,16,0,16,4819
2350,16,0,16,4416
2400,16,0,16,2789
2450,16,0,16,2273
2500,16,0,16,2326
2550,16,0,16,2318
2600,16,0,16,2452
2650,16,0,16,2468
2700,16,0,16,2355
2750,16,0,16,2189
2800,16,0,16,2339
2850,16,0,16,2137
2900,16,0,16,1992
2950,16,0,16,1956
3000,16,0,16,2118
3050,16,0,16,2312
3100,16,0,16,2256
3150,16,0,16,2215
3200,16,0,16,2107
3250,16,0,16,2094
3300,16,0,16,2103
3350,16,0,16,2096
3400,16,0,16,2336
3450,16,0,16,2301
3500,16,0,16,2612
3550,16,0,16,4287
3600,16,0,16,8550
3650,16,0,16,2300
3700,16,0,16,2287
3750,16,0,16,2248
3800,16,0,16,2258
3850,16,0,16,2132
3900,16,0,16,2097
3950,16,0,16,2082
4000,16,0,16,2354
4050,16,0,16,2344
4100,16,0,16,2194
4150,16,0,16,2225
4200,16,0,16,2244
4250,16,0,16,2487
4300,16,0,16,2502
4350,16,0,16,2486
4400,16,0,16,2490
4450,16,0,16,2503
4500,16,0,16,2447
